y,ymin,ymax,.width,.point,.interval,ali_ug_l,cens_ali_ug_l
9.437508209879665,2.4516894429597254,16.46841460434065,0.95,median,qi,4.9480000000000075,none
19.481785230690484,6.531797714457657,31.71245450914068,0.95,median,qi,19.87769750000001,none
20.99301838366243,13.293455531664753,28.099151792622695,0.95,median,qi,32.45199410000001,none
23.408825630125612,15.575279963185908,30.51905581231828,0.95,median,qi,0.6107633999999962,none
15.958712831617511,8.919798418247588,23.4762975389958,0.95,median,qi,24.997000000000018,none
31.958729647766397,24.988624503279546,38.888339077296315,0.95,median,qi,34.50474870000002,none
30.019121621948543,22.8280537488748,37.2454688646806,0.95,median,qi,2.178791999999987,none
11.601976043380958,4.706707214483377,18.114818976572764,0.95,median,qi,13.840000000000003,none
28.089868208958713,-3.9113678604986575,63.01846796313487,0.95,median,qi,NA,none
28.243679326673444,20.65906942198719,35.372065957947044,0.95,median,qi,22.74242179999999,none
20.957845263486625,12.939672197267855,29.078566215730614,0.95,median,qi,3.494999999999976,none
34.65982730217547,26.57808146660544,42.57712622834522,0.95,median,qi,59.65298279999999,none
3.7622966897381396,-4.029163398239129,11.568872354789335,0.95,median,qi,13.242000000000004,none
29.159201389254456,21.50999526716088,36.557019226770024,0.95,median,qi,17.54427580000001,none
29.021653319591646,21.565529419754615,36.12224408244711,0.95,median,qi,26.253205199999996,none
90.26311654963575,76.69644100470038,103.47298232011266,0.95,median,qi,29.908794400000033,none
110.82118686836839,95.63036812808461,123.52464571919539,0.95,median,qi,130.4799946999999,none
95.474065490051,81.97675075028371,106.54824972037852,0.95,median,qi,35.80756869999993,none
9.853695850867073,2.990256573284115,17.6612422773432,0.95,median,qi,18.10899999999998,none
26.625014528755113,20.2759123023479,34.039345294261004,0.95,median,qi,42.93290160000001,none
20.87658193828765,14.430598971227415,28.058448720330933,0.95,median,qi,10.644402899999989,none
20.55880115230414,14.31639390202417,27.495802795435548,0.95,median,qi,21.3020492,none
23.045621457337624,16.625408903776982,29.138351065818895,0.95,median,qi,14.59899999999999,none
