site,watershed,date,latitude,longitude,ph_sonde,ph_lab,temp_deg_c_sonde,temp_lab_deg_c,spc_u_scm_sonde,conductivity_lab_u_scm,alkalinity_mg_ca_co3l,aluminum_dis_ug_l,aluminum_org_ug_l,ali_ug_l,antimony_dis_ug_l,arsenic_dis_ug_l,barium_dis_ug_l,bromide_ug_l,cadmium_dis_ug_l,calcium_dis_mg_l,cerium_dis_ug_l,chloride_mg_l,chromium_dis_ug_l,cobalt_dis_ug_l,copper_dis_ug_l,fluoride_ug_l,hardness_mg_ca_co3l,iron_dis_ug_l,lead_dis_ug_l,lithium_dis_ug_l,magnesium_dis_mg_l,manganese_dis_ug_l,nickel_dis_ug_l,nitrate_ug_l,nitrite_ug_l,phosphate_ug_l,phosphorus_dis_ug_l,potassium_dis_mg_l,selenium_dis_ug_l,silver_dis_ug_l,sodium_dis_mg_l,sulfate_mg_l,tds_mg_l,titanium_dis_ug_l,uranium_dis_ug_l,vanadium_dis_ug_l,zinc_dis_ug_l,avg_dic_mg_l,avg_doc_mg_l,avg_turbidity_ntu,avg_colour_colour_units,cens_ph_sonde,cens_ph_lab,cens_temp_deg_c_sonde,cens_temp_lab_deg_c,cens_spc_u_scm_sonde,cens_conductivity_lab_u_scm,cens_alkalinity_mg_ca_co3l,cens_aluminum_dis_ug_l,cens_aluminum_org_ug_l,cens_ali_ug_l,cens_antimony_dis_ug_l,cens_arsenic_dis_ug_l,cens_barium_dis_ug_l,cens_bromide_ug_l,cens_cadmium_dis_ug_l,cens_calcium_dis_mg_l,cens_cerium_dis_ug_l,cens_chloride_mg_l,cens_chromium_dis_ug_l,cens_cobalt_dis_ug_l,cens_copper_dis_ug_l,cens_fluoride_ug_l,cens_hardness_mg_ca_co3l,cens_iron_dis_ug_l,cens_lead_dis_ug_l,cens_lithium_dis_ug_l,cens_magnesium_dis_mg_l,cens_manganese_dis_ug_l,cens_nickel_dis_ug_l,cens_nitrate_ug_l,cens_nitrite_ug_l,cens_phosphate_ug_l,cens_phosphorus_dis_ug_l,cens_potassium_dis_mg_l,cens_selenium_dis_ug_l,cens_silver_dis_ug_l,cens_sodium_dis_mg_l,cens_sulfate_mg_l,cens_tds_mg_l,cens_titanium_dis_ug_l,cens_uranium_dis_ug_l,cens_vanadium_dis_ug_l,cens_zinc_dis_ug_l,cens_avg_dic_mg_l,cens_avg_doc_mg_l,cens_avg_turbidity_ntu,cens_avg_colour_colour_units,yday
11MO,Moser,2021-04-06,45.027314,-62.276714,4.07,5.1918,5.8,18.1,20.7,23.5,2.07,133.116,128.168,4.9480000000000075,2,0.4,5.083,9,0.4,0.769,0.4,3.1525,0.4,0.4,0.952,11.3294,3.060879,126.073,0.4,0.4,0.277,25.282,0.4,32.5164,9,10,10,0.169,1,0.4,4.423,1.2112,15.66651,0.842,0.4,0.4,3.302,NA,5.847,0.9955,55,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,left,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
11MO,Moser,2021-04-22,45.027314,-62.276714,4.94,5.9873,9.1,15.3,23.8,25.7,3.502,168.5738134,148.6961159,19.87769750000001,2,0.4,5.850953579,9,0.4,1.270873265,0.4,3.4969,0.4,0.4,1.107425137,18.4322,4.969832263,204.7839138,0.4,0.4,0.436246168,23.41532314,0.4,16.9427,9,10,10.78732641,0.249200298,1,0.4,5.118082954,1.2919,17.1,1.069323789,0.4,0.4,5.479256977,NA,6.085,0.92,342,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,left,none,none,left,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
11PT,Petite Riviere,2021-04-27,44.33169,-64.63566,4.59,5.8563,9.8,15.9,31.1,36.5,3.465,170.6105167,138.1585226,32.45199410000001,2,0.512591661,2.454170525,9,0.4,1.284342627,0.603690454,5.6115,0.4,0.433512595,3.15410664,24.6847,5.47555883,380.2774104,0.4,1.036689212,0.550887637,40.14375294,1.323105903,11.6547,9,10,10.83444803,0.618808722,1,0.4,5.615497677,1.9758,24.3,0.738632977,0.4,0.4,14.94798139,NA,5.965,1.11,75,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,none,none,none,none,none,left,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.32054794520547947
11PT,Petite Riviere,2021-05-18,44.33169,-64.63566,4.99,4.0106,17.1,15.2,33.7,38.5,2.956,168.459208,167.8484446,0.6107633999999962,2,0.528586284,2.188458845,9,0.4,1.254202277,0.660386364,5.9413,0.4,0.4,1.398795475,26.102,5.066034367,365.8798808,0.4,1.484008225,0.469716193,32.7973274,0.998292904,28.9787,9,208.6055,11.17393999,0.309171343,1,0.4,4.226236222,1.9693,25.66641,0.670852975,0.4,0.4,5.88783849,NA,6.8715,0.8185,88.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3780821917808219
12MO,Moser,2021-04-06,45.11054,-62.3795,3.56,2.6653,5.7,17.3,19.8,21.8,0.907,178.905,153.908,24.997000000000014,2,0.4,1.74,9,0.4,0.52,0.405,1.7669,0.4,0.4,1.521,14.7585,2.10145,331.999,0.4,0.638,0.195,25.363,0.4,21.9242,9,10,10,0.205,1.119,0.4,3.207,0.6961,14.533188,1.732,0.4,0.4,4.64,NA,9.764,1.425,119.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
12MO,Moser,2021-04-22,45.11054,-62.3795,4.4,5.0292,10.3,14,20.6,22.2,1.682,235.1133392,200.6085905,34.50474870000002,2,0.4,2.204274428,9,0.4,0.709925117,0.50914487,2.1707,0.4,0.4,1.047571536,12.6921,2.925605087,413.0082463,0.410195473,0.4,0.279971362,39.85747307,0.4,67.9319,9,10.3552,10.51233238,0.199519163,1,0.4,3.971577422,0.8056,14.8,2.123845755,0.4,0.4,6.709055778,NA,9.6555,1.01,132.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,none,left,none,none,left,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
12MO,Moser,2021-05-13,45.11054,-62.3795,3.88,4.9353,9.8,16.9,0,24.1,1.543,243.7863325,241.6075405,2.178791999999987,2,0.4,2.392159259,9,0.4,0.798205176,0.546315678,2.4096,0.4,0.4,0.7,18.6243,3.205789932,454.7323602,1.218889872,0.792433425,0.294480721,33.68696389,0.4,52.0829,9,10,10,0.183881905,1,0.4,2.416708622,0.6801,16.066506,2.073478015,0.4,0.4,5.174929199,NA,10.83,0.6265,169.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3643835616438356
12PT,Petite Riviere,2021-04-08,44.314531,-64.657655,4.68,5.499,9.6,15.6,32.1,36.2,2.65,114.912,101.072,13.840000000000003,2,0.4,2.709,9,0.4,1.039,0.4,5.4996,0.4,0.4,0.745,14.2024,5.225785,260.275,0.4,0.886,0.639,34.157,0.63,19.3853,9,11.5639,10,0.418,1,0.4,3.813,2.4869,24.13092,0.801,0.4,0.4,5.432,NA,5.7905,0.8905,61.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.2684931506849315
12PT,Petite Riviere,2021-04-27,44.314531,-64.657655,4.51,NA,9.8,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0.32054794520547947
12PT,Petite Riviere,2021-05-18,44.314531,-64.657655,4.99,5.7697,15.6,15.2,34,37.5,3.745,167.2149785,144.4725567,22.74242179999999,2,0.670736763,2.594247504,14.2442,0.4,1.164121504,0.609948133,5.0494,0.4,0.4,0.7,22.0304,5.952578433,770.6865264,0.4,1.158540215,0.739622885,80.12348933,0.807030123,45.7399,9,169.6,11.2137529,0.435933336,1,0.4,3.816757781,1.6878,24.99975,1.77236544,0.4,0.4,5.793593606,NA,8.7625,1.085,106,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,left,left,none,none,none,left,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3780821917808219
12WR,WRSH,2021-04-06,44.941364,-62.557373,4.31,4.9129,5.8,16.6,23.4,26.3,1.743,209.069,205.574,3.494999999999976,2,0.4,2.759,9,0.4,0.855,0.582,3.0507,0.4,0.4,1.054,34.3729,3.345627,227.7,0.4,0.4,0.294,25.992,0.4,10.3529,9,10,10,0.361,1.221,0.4,4.346,1.1066,17.533158,1.882,0.4,0.4,5.479,NA,9.4915,0.743,107,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,left,left,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
12WR,WRSH,2021-04-22,44.941364,-62.557373,4.43,5.3167,11.3,14.7,22.9,26.2,2.347,253.167157,193.5141742,59.65298279999999,2,0.477049766,3.145564517,9,0.4,1.010694268,0.615060311,3.4595,0.4,0.4,3.95073207,32.1376,4.053582473,317.4628157,0.4,0.410670218,0.371510172,32.38224929,0.4,18.3525,9,10,10,0.237448206,1,0.4,3.571056323,1.2343,17.5,1.985587828,0.4,0.4,6.16764705,NA,7.9825,0.95,94.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
13MO,Moser,2021-04-06,45.125706,-62.402191,3.39,4.6471,4.8,17.5,21.4,23.2,1.813,135.37,122.128,13.242000000000004,2,0.4,1.011,9,0.4,0.474,0.4,1.5992,0.4,0.4,0.7,14.3709,1.928936,297.962,0.4,0.4,0.181,17.971,0.4,36.1373,9,10,10,0.21,1.68,0.4,2.877,0.5597,15.466512,1.514,0.4,0.4,2.328,NA,10.735,4.825,129,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,left,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
13MO,Moser,2021-04-22,45.125706,-62.402191,3.56,4.7082,8.1,14.6,26,27.9,0.866,261.3666372,243.8223614,17.54427580000001,2,0.699152854,1.852717233,9,0.4,0.833316043,0.767960457,2.2066,0.4,0.4,1.010826938,14.3293,3.349713125,521.1155154,0.657378533,0.4,0.308140594,31.3634296,0.420514581,26.697,9,10.638,16.52605445,0.263123863,1,0.4,4.168099352,0.5114,18.6,3.07004679,0.4,0.4,10.40095843,NA,13.905,3.02,196.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,left,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
13MO,Moser,2021-05-13,45.125706,-62.402191,3.4,4.6012,7,17,0,29.4,0.499,279.0092666,252.7560614,26.253205199999996,2,0.569027439,1.793546426,9,0.4,0.720491997,0.747610274,2.157,0.4,0.4,2.975363096,22.245,3.020331533,576.304729,2.462682778,1.05879257,0.296567027,22.62758435,0.473464706,36.3606,9,10.2952,13.7347654,0.180883844,1,0.4,2.280411497,0.437,19.599804,2.678863665,0.4,0.4,6.063301491,NA,15.075,0.517,206,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3643835616438356
13WR,WRSH,2021-07-13,45.018454,-62.67269,4.87,5.6805,16.9,19.2,28.2,35.3,4.695,544.8643204,514.955526,29.908794400000033,2,4.309517239,3.572597519,10.3237,0.4,1.753343719,1.19377425,3.2025,0.510294513,0.4,1.076775195,22.0164,NA,957.4078078,0.878647534,6.839380681,1.197753988,10.59168614,0.890668989,38.4991,9,16.3874,21.11185402,0.176318903,1,0.4,3.15621813,0.5173,23.533098,4.602596253,0.4,0.523935848,6.196514721,NA,20.105,0.5945,280,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,none,left,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.5315068493150685
13WR,WRSH,2021-08-18,45.018454,-62.67269,5.3,5.5812,18,18.1,33.1,35.5,5.913,703.2698492,572.7898545,130.4799946999999,2,6.440224303,4.073930616,29.8608,0.4,2.257545053,1.577246629,3.3955,0.654199764,0.4,2.256279692,12.8912,12.36283031,1601.816028,1.181143378,1.319346841,1.633254083,14.2011014,1.099975663,253.1,9,11.5792,29.44879383,0.323846039,1,0.4,5.367944626,0.4867,23.66643,5.913586135,0.4,0.729696731,19.83848845,NA,28.66,0.6985,413,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,none,left,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.6301369863013698
13WR,WRSH,2021-09-15,45.018454,-62.67269,5.3,4.0786,13.3,17.7,NA,34.9,4.418,621.2397218,585.4321531,35.80756869999993,2,4.636244466,4.105198809,17.2931,0.4,1.956696428,1.488049634,3.3632,0.521615416,0.4,0.713533564,25.8636,10.66796547,1476.658106,0.847752574,0.900580871,1.404102596,23.72543661,0.80990479,87.4678,9,44.1647,16.63587893,0.302794945,1,0.4,2.792980883,0.4381,23.266434,5.687089429,0.4,0.574223641,89.57879149,NA,26.405,0.233,347.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,none,left,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.7068493150684931
14MO,Moser,2021-04-06,45.1538,-62.459027,3.3,4.684,5.7,18,21.5,23.5,1.516,148.396,130.287,18.10899999999998,2,0.4,2.189,9,0.4,0.503,0.4,2.6788,0.4,0.4,0.7,27.4075,2.178423,191.597,0.42,0.4,0.224,15.888,0.4,62.8326,9,10,10,0.212,1.415,0.4,3.398,0.7289,15.66651,1.243,0.4,0.4,2.506,NA,8.032,2.25,91.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,none,left,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
14MO,Moser,2021-04-22,45.1538,-62.459027,5.02,2.3796,11.8,14.8,22.3,24.1,1.578,194.0625713,151.1296697,42.93290160000001,2,0.4,2.536917367,9,0.4,0.631446627,0.4,2.8854,0.4,0.4,1.792068014,20.4183,2.752635662,239.2028964,0.407569864,0.4,0.285554501,19.98085115,0.4,41.9766,9,13.5266,10,0.246025877,1,0.4,4.349673521,0.6901,16.1,1.429519612,0.4,0.4,4.371812396,NA,7.845,1.05,110.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,none,left,none,none,left,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
14MO,Moser,2021-05-13,45.1538,-62.459027,3.7,4.92,9.9,16.9,0,25.3,1.426,195.7367199,185.092317,10.644402899999989,2,0.4,2.375160698,9,0.4,0.63283294,0.41688255,2.9529,0.4,0.4,2.756570477,27.6071,2.76933051,245.788924,0.423019265,0.4,0.288768008,17.19941731,0.4,59.4553,9,17.8674,10,0.222428868,1,0.4,2.37247295,0.6903,16.866498,1.485153756,0.4,0.4,5.500796703,NA,8.9715,0.558,118.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,none,left,none,none,left,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3643835616438356
14MO,Moser,2022-05-24,45.1538,-62.459027,5.46,5.1396,14.8,18.2969,21.9,-1.7233,0.2531,140.7308605,119.4288113,21.3020492,2,0.4,2.443123069,9,0.4,0.555198352,0.4,3.1363,0.4,0.4,0.7,9,NA,238.5769876,0.4,0.475507355,0.23381171,17.95259038,0.4,70.286,9,62.4887,10,0.279825128,1,0.4,2.187778,0.6636,-1.148855178,1.418497537,0.4,0.4,6.026936952,2.142,7.621,0.826,51.892,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,left,none,none,left,none,none,none,left,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.39452054794520547
14WR,WRSH,2021-04-06,45.00111,-62.6314,4.13,5.1394,6.4,17.2,22.7,23.9,1.981,222.012,207.413,14.59899999999999,2,1.208,3.478,9,0.4,0.824,0.609,2.8347,0.4,0.4,0.825,12.7866,3.35058,210.239,0.453,0.502,0.314,30.77,0.4,20.4017,9,10,10,0.26,1,0.4,3.145,1.0621,15.933174,1.628,0.4,0.4,4.75,NA,8.7365,0.6995,98.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
14WR,WRSH,2021-04-22,45.00111,-62.6314,4.71,5.3877,11.4,15.4,21,23.7,2.412,257.4474953,212.9137001,44.533795200000014,2,1.804251459,3.992955535,9,0.4,1.05844691,0.621169074,2.971,0.4,0.4,1.018836692,11.123,4.246109578,403.0385657,0.496016767,0.706507984,0.389307345,35.01008835,0.624714104,54.4958,9,10.2179,13.96911787,0.35090197,1,0.4,4.182450704,1.1025,15.8,1.879231024,0.4,0.4,19.14356939,NA,7.8285,0.74,97.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
14WR,WRSH,2021-05-13,45.00111,-62.6314,4.68,5.3424,10.1,17.6,20.9,24.6,2.259,243.5471647,215.2802651,28.266899599999988,2,1.574461208,3.594478208,9,0.4,1.151086785,0.600002572,2.9373,0.4,0.4,1.691790318,13.0983,4.439614414,221.1018211,0.4,0.817191867,0.380124019,25.29708701,0.642363736,33.4984,9,10,10,0.335312095,1,0.4,2.524800696,1.0853,16.399836,1.43642115,0.4,0.4,18.32174872,NA,7.7885,0.5195,98,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3643835616438356
16MQ,Musquodoboit,2021-03-30,45.030714,-63.10005,5.83,6.285,1.6,17,29.7,29.7,4.53,135.983,122.9,13.082999999999998,2,0.4,5.847,9,0.4,1.884,0.4,3.2185,0.4,0.4,0.7,13.4606,6.557448,140.625,0.4,0.433,0.45,21.334,0.4,390.7398,9,10,10,0.152,1,0.4,1.763,2.4849,19.7999998,0.5,0.4,0.4,2.302,NA,6.09,4.125,52.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.24383561643835616
16MQ,Musquodoboit,2021-04-20,45.030714,-63.10005,6.15,4.2774,6.7,16.8,39.8,46.7,8,113.0226625,104.5732771,8.449385399999997,2,0.4,9.820230707,9,0.4,3.514655625,0.4,4.031,0.4,0.4,0.868635924,23.61,13.23315786,168.4060016,0.4,0.743587169,1.082336757,17.4780824,0.647807889,1184.7,9,10,10,0.297265804,1,0.4,2.914750033,4.0025,31.1,0.529655798,0.4,0.4,6.929046249,NA,4.904,1.45,44,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3013698630136986
16MQ,Musquodoboit,2021-05-11,45.030714,-63.10005,5.82,7.1646,7.9,19.5,35.7,40.5,11.22,131.5843592,128.5024693,3.081889899999993,2,0.4,9.30769248,9,0.4,3.082932586,0.4,3.389,0.4,0.4,0.714202458,26.3376,11.89301222,200.3128476,0.4,1.212176835,1.018681291,22.280997,0.727363499,828.2,9,748,10,0.23684107,1,0.4,2.797364268,3.4764,26.99973,0.5,0.4,0.4,7.245866284,NA,5.902,0.829,49,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.3589041095890411
17MQ,Musquodoboit,2021-03-30,45.068541,-63.103699,6.47,6.255,1.2,16.7,45,45,4.271,85.109,79.111,5.9979999999999905,2,0.4,6.254,9,0.4,5.271,0.4,2.7354,0.4,0.4,0.7,26.798,15.158917,29.103,0.4,0.406,0.485,12.065,0.4,204.7946,9,10,10,0.405,1,0.4,2.059,9.2413,29.9999997,0.5,0.4,0.4,3.605,NA,3.5595,2.265,20.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.24383561643835616
17MQ,Musquodoboit,2021-05-11,45.068541,-63.103699,6,6.5398,8.6,18.8,65.7,75.3,5.226,62.96183578,60.95637665,2.0054591299999984,2,0.4,6.833098838,9,0.4,8.744477755,0.4,2.6676,0.4,0.4,0.7,27.8588,25.15273027,30.40262971,0.948423552,0.554090095,0.80567492,9.063540939,0.4,157.0996,9,182.0974,10,0.364763391,1,0.4,2.529518309,19.4399,50.199498,0.5,0.4,0.4,3.621613761,NA,2.993,0.758,9,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,none,none,none,none,left,none,left,none,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.3589041095890411
17MQ,Musquodoboit,2022-05-17,45.068541,-63.103699,6.76,6.7856,11.5,17.0051,150.8,141.542,7.991,16.922,12.995,3.9270000000000014,NA,NA,9.761,NA,NA,21.898,NA,NA,NA,NA,NA,NA,59.6,14.291,NA,1.426,1.203,6.059,NA,NA,NA,NA,NA,0.412,1,0.4,2.763,NA,94.4,NA,0.4,NA,8.554,NA,2,0.701,6,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.37534246575342467
18MQ,Musquodoboit,2021-03-30,45.056209,-63.068232,6.46,6.6254,2.6,16.9,47.3,46.3,9.276,113.089,91.209,21.879999999999995,2,0.4,6.689,9,0.4,3.831,0.4,5.2416,0.4,0.4,0.7,14.915,12.749221,102.012,0.4,0.42,0.773,21.728,0.4,188.8223,9,10,10,0.237,1,0.4,2.584,3.0382,30.86666636,0.5,0.4,0.4,3.676,NA,5.5015,19.15,49,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.24383561643835616
18MQ,Musquodoboit,2021-04-20,45.056209,-63.068232,6.37,4.5846,7.3,17.1,64.8,73.9,15.717,77.42284166,74.44452657,2.9783150900000095,2,0.4,8.866132562,9,0.4,8.987566766,0.4,5.2046,0.4,0.4,0.7,29.5205,27.48935702,83.37192889,0.4,0.49762058,1.225692765,24.48114964,0.585846831,421,9,11.439,10,0.372716758,1,0.4,5.182672441,7.6854,49.3,0.5,0.4,0.4,4.04757446,NA,3.9175,1.54,42.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.3013698630136986
18MQ,Musquodoboit,2021-05-11,45.056209,-63.068232,6.06,6.0417,11.2,18.5,64.2,71.6,19.425,166.9312989,95.11630243,71.81499647,2,0.4,11.10295598,9.512,0.4,6.516745795,0.549117825,5.3009,0.4,0.4,0.7,27.8519,23.76494098,325.6940069,1.377877434,1.008891032,1.819481965,67.67990988,0.8722289,233.6,9,347,10,0.291132627,1,0.4,3.956686526,6.2153,47.732856,0.931211166,0.4,0.4,4.951309258,NA,5.9165,3.92,47,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,none,none,left,left,left,none,none,none,none,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3589041095890411
1CL,NA,2022-06-07,44.922911,-62.546613,5.86,6.2097,15.3,17.8675,44.4,33.6607,2.0252,142.3792025,117.399508,24.979694499999994,2,4.458907981,10.57862362,20.0151,0.4,2.139568729,0.4,8.9832,0.4,0.4,0.7,20.7834,NA,404.1306698,0.4,1.401402536,0.398408241,93.69665474,0.402696559,264.2818,9.1288,29.1167,27.76648856,0.293489915,1,0.4,5.048102967,0.9551,22.44024226,0.986733651,0.4,0.4,33.99277669,1.951,6.822,NA,NA,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,left,left,none,none,none,left,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.4328767123287671
1CRL,LaHave,2022-07-21,44.689603,-64.932379,6.39,7.1928,15.1,17.2723,3385,1574.6424,114.1198,10.96957123,9.203972112,1.765599117999999,2,0.822318397,87.02900054,76.7308,0.4,121.1544281,0.4,551.8549,0.4,6.43491943,0.726699297,9,NA,784.5745516,0.4,5.449387936,14.87148741,5144.335698,0.811787709,512.5,NA,NA,12.07098616,2.563338041,1,0.4,159.4893558,98.0788,1049.751102,0.5,0.4,0.4,3.269797104,35.955,8.779,11.9,19.45,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,none,none,left,none,none,left,none,none,none,none,none,none,none,none,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.5534246575342465
1DB,Musquodoboit,2022-05-17,45.101436,-63.149246,5.51,5.8089,11.5,17.7642,31.6,3.842,2.8687,213.369,201.028,12.341000000000008,NA,0.534,5.352,NA,NA,1.053,0.489,NA,NA,NA,1.568,NA,4.41,504.26,NA,1.213,0.433,321.417,1.292,NA,NA,NA,22.09,0.569,1,0.4,2.282,NA,2.56,0.979,0.4,NA,12.313,NA,10.32,5.785,85,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.37534246575342467
